"ASRS59V554SPIA      ",66429,"ASTON MARTIN","RAPIDE S","RAPIDE S SALOON",2013,,,"V12 [552] 4dr Touchtronic III Auto",2014,,"Y"
"ASRS59SHE4SPIA      ",77230,"ASTON MARTIN","RAPIDE S","RAPIDE S SALOON SPECIAL EDITION",2016,,"Shadow Edition","V12 [565] Shadow Edition 4dr Touchtronic III  Auto",2016,,"Y"
"ASVQ59V522CPIA  1   ",66382,"ASTON MARTIN","VANQUISH","VANQUISH COUPE",2013,,,"V12 [568] 2+2 2dr Touchtronic Auto",2014,,"Y"
"ASVQ59VS 2CPIA  1   ",77941,"ASTON MARTIN","VANQUISH","VANQUISH COUPE",2013,,"S","V12 [595] S 2+0 2dr Touchtronic Auto",2016,,"Y"
"ASVQ59VS22CPIA  1   ",77942,"ASTON MARTIN","VANQUISH","VANQUISH COUPE",2013,,"S","V12 [595] S 2+2 2dr Touchtronic Auto",2016,,"Y"
"ASVQ59SU02CPIA  1   ",83972,"ASTON MARTIN","VANQUISH","VANQUISH COUPE SPECIAL EDITIONS",2014,,"S Ultimate","V12 [595] S Ultimate 2+0 2dr Touchtronic Auto",2018,,"Y"
"ASVQ59V522VPIA      ",66383,"ASTON MARTIN","VANQUISH","VANQUISH CONVERTIBLE",2013,,"Volante","V12 [568] 2dr Volante Touchtronic Auto",2014,,"Y"
"ASVQ59S  2VPIA      ",77943,"ASTON MARTIN","VANQUISH","VANQUISH CONVERTIBLE",2013,,"S Volante","V12 [595] S 2dr Volante Touchtronic Auto",2016,,"Y"
"ASVQ59SU22VPIA      ",83973,"ASTON MARTIN","VANQUISH","VANQUISH CONVERTIBLE SPECIAL EDITIONS",2014,,"S Ultimate","V12 [595] S Ultimate 2dr Volante Touchtronic Auto",2018,,"Y"
"AUA110SE 3HPTM  1   ",68233,"AUDI","A1","A1 HATCHBACK",2014,,"SE","1.0 TFSI SE 3dr",2015,,"Y"
"AUA110SE 3HPTA  1   ",68234,"AUDI","A1","A1 HATCHBACK",2014,,"SE","1.0 TFSI SE 3dr S Tronic",2015,,"Y"
"AUA110SPO3HPTM  1   ",68235,"AUDI","A1","A1 HATCHBACK",2014,,"Sport","1.0 TFSI Sport 3dr",2015,2017,"N"
"AUA110SPO3HPTA  1   ",68236,"AUDI","A1","A1 HATCHBACK",2014,,"Sport","1.0 TFSI Sport 3dr S Tronic",2015,2017,"N"
"AUA110SON3HPTM  1   ",81916,"AUDI","A1","A1 HATCHBACK",2014,,"Sport Nav","1.0 TFSI Sport Nav 3dr",2017,,"Y"
"AUA110SON3HPTA  1   ",81917,"AUDI","A1","A1 HATCHBACK",2014,,"Sport Nav","1.0 TFSI Sport Nav 3dr S Tronic",2017,,"Y"
"AUA110SLV3HPTM  1   ",82819,"AUDI","A1","A1 HATCHBACK",2014,,"S Line Nav","1.0 TFSI S Line Nav 3dr",2018,,"Y"
"AUA110SLV3HPTA  1   ",82820,"AUDI","A1","A1 HATCHBACK",2014,,"S Line Nav","1.0 TFSI S Line Nav 3dr S Tronic",2018,,"Y"
"AUA114SPO3HPTM  1   ",67101,"AUDI","A1","A1 HATCHBACK",2014,,"Sport","1.4 TFSI Sport 3dr",2015,2017,"N"
"AUA114SPO3HPTA  1   ",67102,"AUDI","A1","A1 HATCHBACK",2014,,"Sport","1.4 TFSI Sport 3dr S Tronic",2015,2017,"N"
"AUA114SON3HPTM  1   ",81918,"AUDI","A1","A1 HATCHBACK",2014,,"Sport Nav","1.4 TFSI Sport Nav 3dr",2017,,"Y"
"AUA114SON3HPTA  1   ",81919,"AUDI","A1","A1 HATCHBACK",2014,,"Sport Nav","1.4 TFSI Sport Nav 3dr S Tronic",2017,,"Y"
"AUA114SL 3HPTM  1   ",67103,"AUDI","A1","A1 HATCHBACK",2014,,"S Line","1.4 TFSI S Line 3dr",2015,2017,"N"
"AUA114SL 3HPTA  1   ",67104,"AUDI","A1","A1 HATCHBACK",2014,,"S Line","1.4 TFSI S Line 3dr S Tronic",2015,2017,"N"
"AUA114SLV3HPTM  1   ",81922,"AUDI","A1","A1 HATCHBACK",2014,,"S Line Nav","1.4 TFSI S Line Nav 3dr",2017,,"Y"
"AUA114SLV3HPTA  1   ",81923,"AUDI","A1","A1 HATCHBACK",2014,,"S Line Nav","1.4 TFSI S Line Nav 3dr S Tronic",2017,,"Y"
"AUA114L503HPTM  1   ",67105,"AUDI","A1","A1 HATCHBACK",2014,,"S Line","1.4 TFSI 150 S Line 3dr",2015,2017,"N"
"AUA114L503HPTA  1   ",67106,"AUDI","A1","A1 HATCHBACK",2014,,"S Line","1.4 TFSI 150 S Line 3dr S Tronic",2015,2017,"N"
"AUA1141SN3HPTM  1   ",81924,"AUDI","A1","A1 HATCHBACK",2014,,"S Line Nav","1.4 TFSI 150 S Line Nav 3dr",2017,2018,"N"
"AUA1141SN3HPTA  1   ",81925,"AUDI","A1","A1 HATCHBACK",2014,,"S Line Nav","1.4 TFSI 150 S Line Nav 3dr S Tronic",2017,2018,"N"
